uri,artist_names,track_name,search_term
spotify:track:0YJW8OXw8G1xDfkzaID3vv,"Black Eyed Peas, Shakira, David Guetta",DON'T YOU WORRY,don't you worry by black eyed peas
spotify:track:1DSEdQdvhbBfXmDkQNZbzf,"Raul Vega, Los Dareyes De La Sierra",30 Blindadas,30 blindadas by raul vega
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,"Shakira, Wyclef Jean",Hips Don't Lie (feat. Wyclef Jean),hips don't lie by shakira
spotify:track:0q1H8leLjzZvjHhgNBiVOx,Justin Morales,Desde Morro,desde morro by justin morales
spotify:track:4KYdqX7VWv3gBuFNI0n4mJ,"Fuerza Regida, Junior H",Whiskey Con Agua,whiskey con agua by fuerza regida
spotify:track:1caKQ2Nqtr1eoczaB83cUz,Tiago PZK,Bemaste,bemaste by tiago pzk
spotify:track:1daDRI9ahBonbWD8YcxOIB,Miley Cyrus,Angels Like You,angels like you by miley cyrus
spotify:track:2t6IxTASaSFkZEt61tQ6W6,"Quevedo, Myke Towers",PLAYA DEL INGLÉS,playa del inglés by quevedo
spotify:track:2oiixB9QMIzhWaHGVlQx4g,"Yandel, Feid",Yandel 150,yandel 150 by yandel
spotify:track:45Ugm9xuEUtnItECxHghGx,Grupo Marca Registrada,Así Nací,así nací by grupo marca registrada
