uri,artist_names,track_name,search_term
spotify:track:4yKC4OVtG5Z9nIX98r7SQp,"Joan Sebastian, Calibre 50",Que Sea,"joan sebastian, calibre 50 que sea"
spotify:track:19OXtYzrJyCrQvTbfukt4H,"Maluma, Myke Towers",Madrid (feat. Myke Towers),"maluma, myke towers madrid (feat. myke towers)"
spotify:track:0XinBYhf1X3kdvKQHOX971,"C. Tangana, Niño de Elche, La Húngara",Tú Me Dejaste De Querer,"c. tangana, niño de elche, la húngara tú me dejaste de querer"
spotify:track:5wPhERt9izm1T45aFXDWPe,La Factoria,Todavia,la factoria todavia
spotify:track:4WbKmrxCQ8gp8qEjyRpXtb,Danna Paola,Amor Ordinario,danna paola amor ordinario
spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,the weeknd the hills
spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,ariana grande positions
spotify:track:5FGE7nybrywkX6tDfRDf55,"Sergi, KID FLEX",Seguro Te Pierdo,"sergi, kid flex seguro te pierdo"
spotify:track:0GzuHFG4Ql6DoyxFRnIk3F,"Maluma, The Weeknd",Hawái - Remix,"maluma, the weeknd hawái - remix"
spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,sia snowman
spotify:track:3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,Love Story (Taylor’s Version),taylor swift love story (taylor’s version)
spotify:track:4frLb7nWtsz2ymBE6k2GRP,The Weeknd,Earned It (Fifty Shades Of Grey),the weeknd earned it (fifty shades of grey)
spotify:track:1HbA4N1MiOsPthALesGFR1,"Shawn Mendes, Justin Bieber",Monster (Shawn Mendes & Justin Bieber),"shawn mendes, justin bieber monster (shawn mendes & justin bieber)"
spotify:track:5cBrOhKDyiJF9bPGUHKkG0,Dalex,+Linda,dalex +linda
spotify:track:0zLCBJZSiELJf02ucPP9wb,"SAINt JHN, Imanbek",Roses - Imanbek Remix,"saint jhn, imanbek roses - imanbek remix"
spotify:track:2sqgNScWya6T8PwKMELYW8,"Anuel AA, Ozuna",100,"anuel aa, ozuna 100"
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,the neighbourhood sweater weather
spotify:track:2G74yhtIMW8tJY5I83dS4Z,Reyli Barba,Amor del Bueno,reyli barba amor del bueno
spotify:track:2UHhMxm2klYzrqcKMFvTzn,Obzesion,Mi Trokita Cumbia,obzesion mi trokita cumbia
spotify:track:22VdIZQfgXJea34mQxlt81,The Weeknd,Can't Feel My Face,the weeknd can't feel my face
spotify:track:7MoZgM6AsQaZw14WnKopuy,"Ovy On The Drums, Danny Ocean, KAROL G",Miedito o Qué? (feat. KAROL G),"ovy on the drums, danny ocean, karol g miedito o qué? (feat. karol g)"
spotify:track:0TJpnfkl1YrpbUUWtEyKAt,Leon Leiden,Fondo de Bikini,leon leiden fondo de bikini
spotify:track:5fROvzNghPid8mbKNDYvpJ,Bad Bunny,YO VISTO ASÍ,bad bunny yo visto así
spotify:track:7LrXaHUz51m2szHm4hnBae,Carin Leon,Si Tu Amor No Vuelve - Live,carin leon si tu amor no vuelve - live
spotify:track:5rHezo2wXys6LNAKLrghMG,Los Dos Carnales,El Borracho,los dos carnales el borracho
spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,"post malone, swae lee sunflower - spider-man: into the spider-verse"
spotify:track:1Ol5LmdNDNpFu1oNwfgkux,"Camilo, Pedro Capó",Tutu,"camilo, pedro capó tutu"
spotify:track:5zj8WNkBrEzlI5FKeYV4ol,"Sech, J Balvin",La Luz,"sech, j balvin la luz"
spotify:track:6vruVVMkk7YGKzkuIrtOWz,Danna Paola,Oye Pablo,danna paola oye pablo
spotify:track:0tjZv2hChdHZCW1zFXpy1J,Bad Bunny,HOY COBRÉ,bad bunny hoy cobré
spotify:track:06s3QtMJVXw1AJX3UfvZG1,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,"anuel aa, bad bunny hasta que dios diga"
spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,conan gray heather
spotify:track:0psS4i5YooJrXfDnGvWRLi,"Billie Eilish, ROSALÍA",Lo Vas A Olvidar (with ROSALÍA),"billie eilish, rosalía lo vas a olvidar (with rosalía)"
spotify:track:7oHsIIDKbEJlFULg1HF0pP,"Anuel AA, Ozuna",Los Dioses,"anuel aa, ozuna los dioses"
spotify:track:7jYZU1CIruZU3puB5tiYiW,Danna Paola,Sodio,danna paola sodio
spotify:track:0pgj4EzB1XRqgZemoMNG5D,"Camilo, Evaluna Montaner",Por Primera Vez,"camilo, evaluna montaner por primera vez"
spotify:track:0zRc5cHuMrulujN8t1XbYE,Alejandro Fernández,Te Olvidé,alejandro fernández te olvidé
spotify:track:0TUW9faHNaBmi89wsYGp9y,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",Mamichula - con Nicki Nicole,"trueno, nicki nicole, bizarrap, taiu, tatool mamichula - con nicki nicole"
spotify:track:5jZ32WOU7sqzDYbzINwMUk,"Bad Bunny, ABRA",SORRY PAPI,"bad bunny, abra sorry papi"
spotify:track:5omVNcjiCT5mvAfoGwVtYo,"Leon Leiden, Yung Dupe, Salma, Charly Romero, Jeis, Pao Alvarado","Gitana (feat. Jeis, Pao Alvarado & Charly Romero)","leon leiden, yung dupe, salma, charly romero, jeis, pao alvarado gitana (feat. jeis, pao alvarado & charly romero)"
spotify:track:3cXHViSCDDH5m4tWJa2VjI,"MC Davo, Dharius",WARZONE FREESTYLE,"mc davo, dharius warzone freestyle"
spotify:track:7g0FX9TZa8a180obEf7HiC,Cardenales De Nuevo León,Belleza De Cantina,cardenales de nuevo león belleza de cantina
spotify:track:0cRgJuB6TRtb5RZ2HkjSLh,"Jowell & Randy, J Balvin",Anaranjado,"jowell & randy, j balvin anaranjado"
spotify:track:70uX4beGHc1nQikXveOknp,"Manuel Turizo, Wisin & Yandel",Mala Costumbre,"manuel turizo, wisin & yandel mala costumbre"
spotify:track:3VxQC3iXh0rDVy5jhv8j71,"Danna Paola, Luísa Sonza, Aitana",Friend De Semana,"danna paola, luísa sonza, aitana friend de semana"
spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),"24kgoldn, iann dior mood (feat. iann dior)"
spotify:track:2LTYkSso5VAfdqzqjprOcH,"Alejandro Fernández, Calibre 50",Decepciones,"alejandro fernández, calibre 50 decepciones"
spotify:track:1QgLKIL39m8266PA54HnmQ,Calibre 50,Te Volvería A Elegir,calibre 50 te volvería a elegir
spotify:track:2UZZtkoLOg7IHxeTAdPFvd,Marconi Union,Weightless Part 1,marconi union weightless part 1
spotify:track:67ACYA3UI6QMNtHX6b34wX,Bad Bunny,LA DROGA,bad bunny la droga
spotify:track:7gwwt1IaAWwmB7af0AcuBM,Harry Nach,Tak Tiki Tak,harry nach tak tiki tak
spotify:track:13vDU8nPsvTGEVTMB8Vw7g,"Aya Nakamura, Maluma",Djadja (feat. Maluma) - Remix,"aya nakamura, maluma djadja (feat. maluma) - remix"
spotify:track:4NCsrTzgVfsDo8nWyP8PPc,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),"black eyed peas, j balvin ritmo (bad boys for life)"
spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,post malone circles
spotify:track:1GNSWpe2SB30zYGbNTD96b,"Danna Paola, Sebastian Yatra",No Bailes Sola,"danna paola, sebastian yatra no bailes sola"
spotify:track:16OHjORdq0UoVilD02ZzXN,Grupo Ensamble,Tus Jefes No Me Quieren,grupo ensamble tus jefes no me quieren
spotify:track:2q9udNV9NK0BL3q9p6TLxf,"ChiChi Peralta, Jandy Feliz",Procura,"chichi peralta, jandy feliz procura"
spotify:track:4d7N2lqEJMbQwVy1LCqhXv,Timbiriche,Con Todos Menos Conmigo,timbiriche con todos menos conmigo
spotify:track:7HW5tUjaKxBUamSi7nnzPt,Joan Sebastian,Eso Y Más,joan sebastian eso y más
spotify:track:02qcrVQ61nS94wWvLaiXGf,Rels B,Me Olvidé De Los 2,rels b me olvidé de los 2
spotify:track:10UiP7h6szsk0CitFO8NM2,Grupo Ensamble,Tus Jefes No Me Quieren,grupo ensamble tus jefes no me quieren
spotify:track:1kCewNSs909Xj1naXr36X8,Selena,Amor Prohibido,selena amor prohibido
spotify:track:0gatssZ0J7pMAlvFCGZZGH,Selena,Como La Flor - Remastered,selena como la flor - remastered
spotify:track:3hbTkJ0yFzHbawnKyhvTQj,"RBD, Anahí, Dulce María, Maite Perroni, Christian Chávez, Christopher von Uckermann, Alfonso Herrera",Sálvame,"rbd, anahí, dulce maría, maite perroni, christian chávez, christopher von uckermann, alfonso herrera sálvame"
spotify:track:0Lsis3LB0XAK6XlTHXaJk2,Bad Bunny,MALDITA POBREZA,bad bunny maldita pobreza
spotify:track:6qKMIgWRTG5Q8Rv0SMGhBi,Rels B,Me Olvidé De Los 2,rels b me olvidé de los 2
spotify:track:5UoFolYVqme3NABM96m0cD,"Natanael Cano, Junior H, Ovi",Verdes Verdes,"natanael cano, junior h, ovi verdes verdes"
spotify:track:6C6mUonH6MNdSg5pw7kOc9,"KHEA, Lenny Santos",Ayer Me Llamó Mi Ex (feat. Lenny Santos),"khea, lenny santos ayer me llamó mi ex (feat. lenny santos)"
spotify:track:1lh3TnDpfNBNfLfOWghNnp,Selena,El Chico Del Apartamento 512,selena el chico del apartamento 512
spotify:track:09WAnxdBuebQopKhJT3oZS,Bad Bunny,TRELLAS,bad bunny trellas
spotify:track:099tjv6oy2opbpCOA3nBwX,"Ir Sais, Rauw Alejandro",Dream Girl - Remix,"ir sais, rauw alejandro dream girl - remix"
spotify:track:4pXW6ZAHBz7ODXTRKklWrM,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",Mamichula - con Nicki Nicole,"trueno, nicki nicole, bizarrap, taiu, tatool mamichula - con nicki nicole"
spotify:track:36DHxTW2xdr9GG15T9oK9L,Bad Bunny,EL MUNDO ES MÍO,bad bunny el mundo es mío
spotify:track:3Uo7WG0vmLQ07WB4BDwy7D,Taylor Swift,willow,taylor swift willow
spotify:track:62aP9fBQKYKxi7PDXwcUAS,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),"surf mesa, emilee ily (i love you baby) (feat. emilee)"
spotify:track:09z12iI8PMeFdltykewNpt,"Sergi, KID FLEX",Seguro Te Pierdo,"sergi, kid flex seguro te pierdo"
spotify:track:7MXgrcOQAJ5VwSNUL0lDd3,"The Weeknd, ROSALÍA",Blinding Lights (with ROSALÍA) - Remix,"the weeknd, rosalía blinding lights (with rosalía) - remix"
spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,"shawn mendes, camila cabello señorita"
spotify:track:5XR1WyZ0uOSHRNhP85QxT4,KURT,La Mujer Perfecta,kurt la mujer perfecta
spotify:track:4SFknyjLcyTLJFPKD2m96o,BLACKPINK,How You Like That,blackpink how you like that
